2025/10/29 21:17:35.956103 SERVER | STARTUP | ClientID:  | ChitChat server starting
2025/10/29 21:17:35.956326 SERVER | STARTUP | ClientID:  | ChitChat server starting on port :50051
2025/10/29 21:17:47.030810 CLIENT | CONNECTION | ClientID: Jeppe | Joining chat
2025/10/29 21:17:47.040790 CLIENT | CONNECTION | ClientID: Jeppe | Successfully joined chat
2025/10/29 21:17:47.041079 SERVER | CONNECTION | ClientID: Jeppe | Client connected at logical time 2
2025/10/29 21:17:47.041106 SERVER | BROADCAST_JOIN | ClientID: Jeppe | Broadcasting join message to 1 clients
2025/10/29 21:17:47.041456 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Jeppe at logical time 2: Participant Jeppe joined Chit Chat at logical time 2
2025/10/29 21:17:49.306559 SERVER | MESSAGE_RECEIVED | ClientID: Jeppe | Valid message at logical time 5: hello
2025/10/29 21:17:49.306640 SERVER | MESSAGE_DELIVERY | ClientID: Jeppe | Delivered message to 1 clients at logical time 5
2025/10/29 21:17:49.306843 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Jeppe at logical time 5: hello
2025/10/29 21:17:49.306920 CLIENT | MESSAGE_SENT | ClientID: Jeppe | Sent message at logical time 4: hello
2025/10/29 21:18:03.973650 CLIENT | CONNECTION | ClientID: Chris | Joining chat
2025/10/29 21:18:03.982667 CLIENT | CONNECTION | ClientID: Chris | Successfully joined chat
2025/10/29 21:18:03.982862 SERVER | CONNECTION | ClientID: Chris | Client connected at logical time 6
2025/10/29 21:18:03.982897 SERVER | BROADCAST_JOIN | ClientID: Chris | Broadcasting join message to 2 clients
2025/10/29 21:18:03.983117 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Chris at logical time 6: Participant Chris joined Chit Chat at logical time 6
2025/10/29 21:18:03.983239 CLIENT | MESSAGE_RECEIVED | ClientID: Chris | From Chris at logical time 6: Participant Chris joined Chit Chat at logical time 6
2025/10/29 21:18:06.547802 SERVER | MESSAGE_RECEIVED | ClientID: Chris | Valid message at logical time 9: hello
2025/10/29 21:18:06.547860 SERVER | MESSAGE_DELIVERY | ClientID: Chris | Delivered message to 2 clients at logical time 9
2025/10/29 21:18:06.548267 CLIENT | MESSAGE_RECEIVED | ClientID: Jeppe | From Chris at logical time 9: hello
